Marital_status,Course,Course_Name,Daytime_evening_attendance        ,Previous_qualification,Nationality,Mother_qualification,Father_qualification,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Unemployment_rate,Inflation_rate,Target 
1,171,Animation and Multimedia Design,1,1,1,19,12,1,1,0,20,10.8,1.4,Dropout
1,9254,Tourism,1,1,1,1,3,0,1,0,19,13.9,-0.3,Graduate
1,9070,Communication Design,1,1,1,37,37,0,1,0,19,10.8,1.4,Dropout
1,9773,Journalism and Communication,1,1,1,38,37,1,0,0,20,9.4,-0.8,Graduate
2,8014,Social Service (evening attendance),0,1,1,37,38,1,0,0,45,13.9,-0.3,Graduate
2,9991,Management (evening attendance),0,19,1,37,37,1,1,0,50,16.2,0.3,Graduate
1,9500,Nursing,1,1,1,19,38,1,0,1,18,15.5,2.8,Graduate
1,9254,Tourism,1,1,1,37,37,0,1,0,22,15.5,2.8,Dropout
1,9238,Social Service,1,1,62,1,1,1,0,1,21,16.2,0.3,Graduate
1,9238,Social Service,1,1,1,1,19,0,0,0,18,8.9,1.4,Dropout
1,9670,Advertising and Marketing Management,1,1,1,38,19,1,0,0,18,13.9,-0.3,Graduate
1,9500,Nursing,1,1,1,19,38,1,0,1,18,12.7,3.7,Graduate
1,9853,Basic Education,1,1,1,19,37,1,0,0,19,12.7,3.7,Dropout
1,9254,Tourism,1,42,1,1,1,1,0,1,21,8.9,1.4,Graduate
1,9085,Veterinary Nursing,1,1,1,38,37,1,0,1,18,10.8,1.4,Graduate
1,9773,Journalism and Communication,1,1,1,19,37,1,0,0,20,15.5,2.8,Dropout
1,9238,Social Service,1,1,1,19,38,1,0,0,18,10.8,1.4,Enrolled
1,9500,Nursing,1,1,1,19,1,1,0,0,18,15.5,2.8,Graduate
1,9130,Equinculture,1,1,1,3,19,1,0,0,20,10.8,1.4,Graduate
1,9853,Basic Education,1,1,1,19,19,1,0,0,18,16.2,0.3,Enrolled
1,171,Animation and Multimedia Design,1,1,1,1,1,1,0,1,21,11.1,0.6,Graduate
1,9556,Oral Hygiene,1,1,1,1,38,1,0,0,20,12.7,3.7,Enrolled
1,9500,Nursing,1,1,1,19,19,1,0,0,18,12.7,3.7,Graduate
1,9670,Advertising and Marketing Management,1,1,1,1,38,1,0,1,19,11.1,0.6,Graduate
1,9500,Nursing,1,1,1,19,19,1,0,0,19,11.1,0.6,Graduate
1,9238,Social Service,1,1,1,19,38,1,0,1,18,7.6,2.6,Enrolled
1,9238,Social Service,1,1,1,19,38,1,0,0,21,16.2,0.3,Graduate
1,9085,Veterinary Nursing,1,1,1,19,19,1,0,0,18,9.4,-0.8,Enrolled
1,9147,Management,1,1,1,19,1,1,0,0,20,16.2,0.3,Graduate
1,9500,Nursing,1,1,1,3,3,1,1,0,19,16.2,0.3,Enrolled
1,9003,Agronomy,1,39,1,4,5,1,1,0,21,16.2,0.3,Enrolled
1,9070,Communication Design,1,1,1,42,3,1,1,0,20,8.9,1.4,Graduate
1,9147,Management,1,1,1,1,1,0,1,0,18,8.9,1.4,Enrolled
